"","marker","patient_id","group","Expression","signif","marker_title"
"1","CD107a","RPs137B","MP",0,"","CD107a "
"2","CD107a","RPs137B","RP",0,"","CD107a "
"3","CD107a","RPs138B","MP",0,"","CD107a "
"4","CD107a","RPs138B","RP",0,"","CD107a "
"5","CD107a","RPs139B","MP",0,"","CD107a "
"6","CD107a","RPs139B","RP",0,"","CD107a "
"7","CD107a","RPs144B","MP",0,"","CD107a "
"8","CD107a","RPs144B","RP",0,"","CD107a "
"9","CD107a","RPs097B","MP",0,"","CD107a "
"10","CD107a","RPs097B","RP",0,"","CD107a "
"11","CD107a","RPs098B","MP",0,"","CD107a "
"12","CD107a","RPs098B","RP",0,"","CD107a "
"13","CD107a","RPs103B","MP",0,"","CD107a "
"14","CD107a","RPs103B","RP",0,"","CD107a "
"15","CD107a","RPS111B","MP",0,"","CD107a "
"16","CD107a","RPS111B","RP",0,"","CD107a "
"17","CD107a","RPS136B","MP",0,"","CD107a "
"18","CD107a","RPS136B","RP",0,"","CD107a "
"19","CD107a","RPs150B","MP",0,"","CD107a "
"20","CD107a","RPs150B","RP",0,"","CD107a "
"21","CD107a","RPs154B","MP",0,"","CD107a "
"22","CD107a","RPs154B","RP",0,"","CD107a "
"23","CD154","RPs137B","MP",0,"","CD154 "
"24","CD154","RPs137B","RP",0,"","CD154 "
"25","CD154","RPs138B","MP",0,"","CD154 "
"26","CD154","RPs138B","RP",0,"","CD154 "
"27","CD154","RPs139B","MP",0,"","CD154 "
"28","CD154","RPs139B","RP",0,"","CD154 "
"29","CD154","RPs144B","MP",0,"","CD154 "
"30","CD154","RPs144B","RP",0,"","CD154 "
"31","CD154","RPs097B","MP",0,"","CD154 "
"32","CD154","RPs097B","RP",0,"","CD154 "
"33","CD154","RPs098B","MP",0,"","CD154 "
"34","CD154","RPs098B","RP",0,"","CD154 "
"35","CD154","RPs103B","MP",0,"","CD154 "
"36","CD154","RPs103B","RP",0,"","CD154 "
"37","CD154","RPS111B","MP",0,"","CD154 "
"38","CD154","RPS111B","RP",0,"","CD154 "
"39","CD154","RPS136B","MP",0,"","CD154 "
"40","CD154","RPS136B","RP",0,"","CD154 "
"41","CD154","RPs150B","MP",0,"","CD154 "
"42","CD154","RPs150B","RP",0,"","CD154 "
"43","CD154","RPs154B","MP",0,"","CD154 "
"44","CD154","RPs154B","RP",0,"","CD154 "
"45","CD29","RPs137B","MP",4.50629990620031,"**","CD29 **"
"46","CD29","RPs137B","RP",4.33810855160607,"**","CD29 **"
"47","CD29","RPs138B","MP",4.84984716396352,"**","CD29 **"
"48","CD29","RPs138B","RP",4.75883004185374,"**","CD29 **"
"49","CD29","RPs139B","MP",4.58214336225886,"**","CD29 **"
"50","CD29","RPs139B","RP",4.38368340404,"**","CD29 **"
"51","CD29","RPs144B","MP",4.42149735877042,"**","CD29 **"
"52","CD29","RPs144B","RP",4.38615347215093,"**","CD29 **"
"53","CD29","RPs097B","MP",3.91344636450697,"**","CD29 **"
"54","CD29","RPs097B","RP",3.85378462297206,"**","CD29 **"
"55","CD29","RPs098B","MP",4.64353081845978,"**","CD29 **"
"56","CD29","RPs098B","RP",4.53542580374336,"**","CD29 **"
"57","CD29","RPs103B","MP",4.27806865377633,"**","CD29 **"
